split,K,tau,theta
calibration,0.9986509607916104,10.46848660750885,1.8202062481380938
calibration,0.9934752062968711,9.72441223033494,2.2026153734747713
calibration,1.0064369603687995,10.25633887127347,2.093300493480567
calibration,0.9918849473174659,9.999674083567372,2.1543354823543774
calibration,0.9661773829628597,9.273232162271508,2.0000001586829295
calibration,0.9737604962561056,9.72647748434479,1.9705188300981678
calibration,1.0094986502219807,10.82741004452241,1.7856051702983524
calibration,1.0016335465752002,10.495549586033805,1.822652502985252
calibration,0.9945628673991056,9.842488011194806,2.1150102473989634
calibration,0.9871307655398727,9.771209872322403,2.0689381559961983
calibration,0.9815820380937426,9.572619376091117,2.0968019234551467
